,Local time year_month_day_hr_min_s,Time in sec since UTC [s],Time since start [s],HMC8041 - 3V3 - CH1 Voltage [V],HMC8041 - 3V3 - CH1 Current [A],HMC8041 - 3V3 - CH1 Energy since inception [Wh],HMC8041 - 3V3 - CH1 Power [W],HMC8041 - 5V - CH1 Voltage [V],HMC8041 - 5V - CH1 Current [A],HMC8041 - 5V - CH1 Energy since inception [Wh],HMC8041 - 5V - CH1 Power [W],HMC8041 - 12V - CH1 Voltage [V],HMC8041 - 12V - CH1 Current [A],HMC8041 - 12V - CH1 Energy since inception [Wh],HMC8041 - 12V - CH1 Power [W],HMC8041 - NRB - CH1 Voltage [V],HMC8041 - NRB - CH1 Current [A],HMC8041 - NRB - CH1 Energy since inception [Wh],HMC8041 - NRB - CH1 Power [W],GRPH CH 1 [C],GRPH CH 2 [C],GRPH CH 3 [C],GRPH CH 4 [C],MOTEM1 current_A,MOTEM1 current_B,MOTEM1 current_C,MOTEM1 motor_theta,MOTEM1 status_flags,MOTEM1 error_flags,MOTEM1 sampled_error_flags,MOTEM1 hall_theta,MOTEM1 Moving,MOTEM1 Move_type,MOTEM1 theta_error,HMC Power total [W],HMC Energy total [Wh]
0,2020_08_14_11_43_28,1597398208.958437,0.4209301471710205,3.3,0.2493,0.0,0.8226899999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0872,0.0,1.0464,13.0,0.1611,0.001,2.0943,-67.7,-63.3,-67.95,-62.05,2038.0,2009.0,2032.0,0.0,35.0,0.0,0.0,1.0,1.0,forward,1.0,4.04189,0.001
1,2020_08_14_11_43_30,1597398210.9352307,2.397723913192749,3.3,0.2492,0.001,0.82236,5.0,0.0156,0.0,0.078,12.0,0.0886,0.001,1.0632,13.0,0.0969,0.001,1.2597,-67.7,-63.3,-67.95,-62.05,2045.0,2011.0,2339.0,335.0,3.0,0.0,0.0,306.0,1.0,forward,1.0,3.22326,0.003
2,2020_08_14_11_43_31,1597398211.6231544,3.0856475830078125,3.3,0.244,0.001,0.8051999999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0873,0.001,1.0476,13.0,0.1116,0.001,1.4508,-67.7,-63.3,-67.95,-62.05,2041.0,2297.0,2032.0,452.0,3.0,0.0,0.0,422.0,1.0,forward,1.0,3.3821000000000003,0.003
3,2020_08_14_11_43_32,1597398212.1803837,3.6428768634796143,3.3,0.2491,0.001,0.8220299999999999,5.0,0.0155,0.0,0.0775,12.0,0.0871,0.001,1.0452,13.0,0.1056,0.001,1.3728,-67.7,-63.3,-67.95,-62.05,2040.0,2008.0,2347.0,546.0,3.0,0.0,0.0,517.0,1.0,forward,1.0,3.3175299999999996,0.003
4,2020_08_14_11_43_32,1597398212.6823592,4.14485239982605,3.3,0.2493,0.001,0.8226899999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0883,0.001,1.0596,13.0,0.1031,0.002,1.3403,-67.7,-63.3,-67.95,-62.05,2049.0,2008.0,2327.0,631.0,3.0,0.0,0.0,601.0,1.0,forward,1.0,3.3010900000000003,0.004
5,2020_08_14_11_43_33,1597398213.426722,4.8892152309417725,3.3,0.244,0.001,0.8051999999999999,5.0,0.0156,0.0,0.078,12.0,0.0873,0.001,1.0476,13.0,0.1027,0.002,1.3351,-67.7,-63.3,-67.95,-62.05,2048.0,2305.0,2036.0,758.0,3.0,0.0,0.0,728.0,1.0,forward,1.0,3.2659000000000002,0.004
6,2020_08_14_11_43_34,1597398214.124001,5.586494207382202,3.3,0.2438,0.001,0.8045399999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0885,0.002,1.0619999999999998,13.0,0.1034,0.002,1.3442,-67.7,-63.3,-67.95,-62.05,2037.0,2011.0,2338.0,876.0,3.0,0.0,0.0,846.0,1.0,forward,1.0,3.2892399999999995,0.005
7,2020_08_14_11_43_34,1597398214.7229118,6.185405015945435,3.3,0.2439,0.001,0.80487,5.0,0.0156,0.0,0.078,12.0,0.0876,0.002,1.0512,13.0,0.117,0.002,1.5210000000000001,-67.7,-63.3,-67.95,-62.05,2351.0,2010.0,2031.0,978.0,3.0,0.0,0.0,947.0,1.0,forward,1.0,3.45507,0.005
8,2020_08_14_11_43_35,1597398215.502915,6.965408086776733,3.3,0.2494,0.002,0.82302,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0877,0.002,1.0524,13.0,0.1068,0.003,1.3884,-67.7,-63.3,-67.95,-62.05,2339.0,2011.0,2031.0,1110.0,3.0,0.0,0.0,1079.0,1.0,forward,1.0,3.34232,0.007
9,2020_08_14_11_43_36,1597398216.108726,7.571219205856323,3.3,0.2438,0.002,0.8045399999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0874,0.002,1.0488,13.0,0.0959,0.003,1.2467,-67.7,-63.3,-67.95,-62.05,2040.0,2008.0,2347.0,1213.0,3.0,0.0,0.0,1183.0,1.0,forward,1.0,3.17854,0.007
10,2020_08_14_11_43_36,1597398216.669646,8.132139205932617,3.3,0.244,0.002,0.8051999999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0875,0.002,1.0499999999999998,13.0,0.1157,0.003,1.5041,-67.7,-63.3,-67.95,-62.05,2362.0,2011.0,2032.0,1308.0,3.0,0.0,0.0,1277.0,1.0,forward,1.0,3.4377999999999997,0.007
11,2020_08_14_11_43_37,1597398217.462176,8.92466926574707,3.3,0.2492,0.002,0.82236,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0875,0.003,1.0499999999999998,13.0,0.1104,0.003,1.4352,-67.7,-63.3,-67.95,-62.05,2036.0,2326.0,2035.0,1442.0,3.0,0.0,0.0,1413.0,1.0,forward,1.0,3.3860599999999996,0.008
12,2020_08_14_11_43_38,1597398218.12961,9.592103242874146,3.3,0.2494,0.002,0.82302,5.0,0.0155,0.0,0.0775,12.0,0.0885,0.003,1.0619999999999998,13.0,0.104,0.004,1.3519999999999999,-67.7,-63.3,-67.95,-62.05,2039.0,2273.0,2039.0,1556.0,3.0,0.0,0.0,1527.0,1.0,forward,1.0,3.31452,0.009000000000000001
13,2020_08_14_11_43_38,1597398218.7768948,10.23938798904419,3.3,0.2494,0.002,0.82302,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0881,0.003,1.0572,13.0,0.108,0.004,1.404,-67.7,-63.3,-67.95,-62.05,2316.0,2011.0,2035.0,1665.0,3.0,0.0,0.0,1637.0,1.0,forward,1.0,3.36272,0.009000000000000001
14,2020_08_14_11_43_39,1597398219.472754,10.93524718284607,3.3,0.2441,0.003,0.80553,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0877,0.003,1.0524,13.0,0.1043,0.004,1.3559,-67.7,-63.3,-67.95,-62.05,2050.0,2298.0,2034.0,1783.0,3.0,0.0,0.0,1754.0,1.0,forward,1.0,3.29233,0.01
15,2020_08_14_11_43_40,1597398220.1714535,11.633946657180786,3.3,0.2493,0.003,0.8226899999999999,5.0,0.0155,0.0,0.0775,12.0,0.0874,0.003,1.0488,13.0,0.1165,0.004,1.5145000000000002,-67.7,-63.3,-67.95,-62.05,2040.0,2009.0,2323.0,1902.0,3.0,0.0,0.0,1873.0,1.0,forward,1.0,3.46349,0.01
16,2020_08_14_11_43_40,1597398220.90162,12.364113092422485,3.3,0.2438,0.003,0.8045399999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0875,0.004,1.0499999999999998,13.0,0.1043,0.005,1.3559,-67.7,-63.3,-67.95,-62.05,2336.0,2011.0,2035.0,2026.0,3.0,0.0,0.0,1997.0,1.0,forward,1.0,3.2889399999999998,0.012
17,2020_08_14_11_43_41,1597398221.5317755,12.994268655776978,3.3,0.244,0.003,0.8051999999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0885,0.004,1.0619999999999998,13.0,0.11,0.005,1.43,-67.7,-63.3,-67.95,-62.05,2316.0,2009.0,2033.0,2133.0,3.0,0.0,0.0,2104.0,1.0,forward,1.0,3.3756999999999997,0.012
18,2020_08_14_11_43_42,1597398222.1306217,13.593114852905273,3.3,0.2439,0.003,0.80487,5.0,0.0156,0.0,0.078,12.0,0.0883,0.004,1.0596,13.0,0.0999,0.005,1.2987,-67.7,-63.3,-67.95,-62.05,2045.0,2309.0,2038.0,2234.0,3.0,0.0,0.0,2205.0,1.0,forward,1.0,3.2411700000000003,0.012
19,2020_08_14_11_43_42,1597398222.6906657,14.153158903121948,3.3,0.2494,0.003,0.82302,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0872,0.004,1.0464,13.0,0.102,0.005,1.3259999999999998,-67.7,-63.3,-67.95,-62.05,2041.0,2299.0,2035.0,2329.0,3.0,0.0,0.0,2300.0,1.0,forward,1.0,3.2739199999999995,0.012
20,2020_08_14_11_43_43,1597398223.241554,14.704047203063965,3.3,0.2441,0.003,0.80553,5.0,0.0155,0.0,0.0775,12.0,0.0879,0.004,1.0548000000000002,13.0,0.1067,0.006,1.3871,-67.7,-63.3,-67.95,-62.05,2045.0,2011.0,2320.0,2423.0,3.0,0.0,0.0,2394.0,1.0,forward,1.0,3.32493,0.013000000000000001
21,2020_08_14_11_43_43,1597398223.8295643,15.292057514190674,3.3,0.2494,0.003,0.82302,5.0,0.0155,0.0,0.0775,12.0,0.0882,0.005,1.0584,13.0,0.1045,0.006,1.3585,-67.7,-63.3,-67.95,-62.05,2038.0,2283.0,2038.0,2523.0,3.0,0.0,0.0,2493.0,1.0,forward,1.0,3.3174200000000003,0.014
22,2020_08_14_11_43_44,1597398224.6741228,16.136615991592407,3.3,0.244,0.004,0.8051999999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0882,0.005,1.0584,13.0,0.1004,0.006,1.3052000000000001,-67.7,-63.25,-67.95,-62.05,2302.0,2009.0,2038.0,2666.0,3.0,0.0,0.0,2638.0,1.0,forward,1.0,3.2473,0.015000000000000001
23,2020_08_14_11_43_45,1597398225.374224,16.836717128753662,3.3,0.244,0.004,0.8051999999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0875,0.005,1.0499999999999998,13.0,0.0987,0.006,1.2831,-67.7,-63.3,-67.95,-62.05,2046.0,2011.0,2369.0,2785.0,3.0,0.0,0.0,2754.0,1.0,forward,1.0,3.2167999999999997,0.015000000000000001
24,2020_08_14_11_43_46,1597398226.120203,17.582696199417114,3.3,0.245,0.004,0.8085,5.0,0.0156,0.0,0.078,12.0,0.0886,0.005,1.0632,13.0,0.107,0.007,1.391,-67.7,-63.3,-67.95,-62.05,2040.0,2315.0,2032.0,2911.0,3.0,0.0,0.0,2882.0,1.0,forward,1.0,3.3407,0.016
25,2020_08_14_11_43_46,1597398226.7503824,18.212875604629517,3.3,0.2494,0.004,0.82302,5.0,0.0157,0.0,0.07849999999999999,12.0,0.088,0.005,1.056,13.0,0.0977,0.007,1.2701,-67.7,-63.3,-67.95,-62.05,2049.0,2008.0,2315.0,3018.0,3.0,0.0,0.0,2989.0,1.0,forward,1.0,3.22762,0.016
26,2020_08_14_11_43_47,1597398227.3192317,18.78172492980957,3.3,0.2493,0.004,0.8226899999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0879,0.006,1.0548000000000002,13.0,0.1104,0.007,1.4352,-67.7,-63.3,-67.95,-62.05,2049.0,2009.0,2361.0,3115.0,3.0,0.0,0.0,3085.0,1.0,forward,1.0,3.39119,0.017
27,2020_08_14_11_43_48,1597398228.095759,19.558252096176147,3.3,0.2495,0.004,0.8233499999999999,5.0,0.0157,0.0,0.07849999999999999,12.0,0.0874,0.006,1.0488,13.0,0.1012,0.007,1.3155999999999999,-67.7,-63.3,-67.95,-62.05,2041.0,2303.0,2032.0,3247.0,3.0,0.0,0.0,3218.0,1.0,forward,1.0,3.26625,0.017
28,2020_08_14_11_43_48,1597398228.726133,20.188626289367676,3.3,0.244,0.005,0.8051999999999999,5.0,0.0156,0.0,0.078,12.0,0.0877,0.006,1.0524,13.0,0.1051,0.008,1.3663,-67.7,-63.3,-67.95,-62.05,2045.0,2010.0,2333.0,3354.0,3.0,0.0,0.0,3324.0,1.0,forward,1.0,3.3019,0.019
29,2020_08_14_11_43_49,1597398229.368823,20.831316232681274,3.3,0.2494,0.005,0.82302,5.0,0.0156,0.0,0.078,12.0,0.0881,0.006,1.0572,13.0,0.1036,0.008,1.3468,-67.7,-63.3,-67.95,-62.05,2040.0,2291.0,2031.0,3463.0,3.0,0.0,0.0,3434.0,1.0,forward,1.0,3.30502,0.019
30,2020_08_14_11_43_50,1597398230.2681127,21.730605840682983,3.3,0.2441,0.005,0.80553,5.0,0.0155,0.0,0.0775,12.0,0.0876,0.006,1.0512,13.0,0.1053,0.008,1.3689,-67.7,-63.3,-67.95,-62.05,2351.0,2009.0,2035.0,3615.0,3.0,0.0,0.0,3586.0,1.0,forward,1.0,3.30313,0.019
31,2020_08_14_11_43_50,1597398230.9492204,22.41171360015869,3.3,0.2441,0.005,0.80553,5.0,0.0155,0.0,0.0775,12.0,0.0875,0.007,1.0499999999999998,13.0,0.1112,0.009,1.4456,-67.7,-63.3,-67.95,-62.05,2037.0,2011.0,2307.0,3731.0,3.0,0.0,0.0,3702.0,1.0,forward,1.0,3.37863,0.020999999999999998
32,2020_08_14_11_43_51,1597398231.837393,23.299886226654053,3.3,0.2491,0.005,0.8220299999999999,5.0,0.0156,0.0,0.078,12.0,0.0878,0.007,1.0536,13.0,0.0997,0.009,1.2961,-67.7,-63.3,-67.95,-62.05,2045.0,2010.0,2332.0,3881.0,3.0,0.0,0.0,3852.0,1.0,forward,1.0,3.24973,0.020999999999999998
33,2020_08_14_11_43_52,1597398232.4577098,23.92020297050476,3.3,0.2494,0.005,0.82302,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0878,0.007,1.0536,13.0,0.1004,0.009,1.3052000000000001,-67.7,-63.3,-67.95,-62.05,2040.0,2343.0,2033.0,3987.0,3.0,0.0,0.0,3956.0,1.0,forward,1.0,3.26032,0.022
34,2020_08_14_11_43_53,1597398233.0458362,24.508329391479492,3.3,0.2491,0.006,0.8220299999999999,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0872,0.007,1.0464,13.0,0.1033,0.009,1.3429,-67.7,-63.3,-67.95,-62.05,2040.0,2294.0,2032.0,4087.0,3.0,0.0,0.0,4058.0,1.0,forward,1.0,3.2898300000000003,0.023
35,2020_08_14_11_43_53,1597398233.7051394,25.167632579803467,3.3,0.2493,0.006,0.8226899999999999,5.0,0.0156,0.001,0.078,12.0,0.0874,0.007,1.0488,13.0,0.1115,0.01,1.4495,-67.7,-63.3,-67.95,-62.05,2035.0,2327.0,2035.0,4198.0,3.0,0.0,0.0,4167.0,1.0,forward,1.0,3.39899,0.024
36,2020_08_14_11_43_54,1597398234.4021895,25.86468267440796,3.3,0.2491,0.006,0.8220299999999999,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0879,0.008,1.0548000000000002,13.0,0.1039,0.01,1.3507,-67.7,-63.3,-67.95,-62.05,2312.0,2011.0,2034.0,4317.0,3.0,0.0,0.0,4289.0,1.0,forward,1.0,3.30603,0.025
37,2020_08_14_11_43_55,1597398235.0917566,26.55424976348877,3.3,0.2494,0.006,0.82302,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0875,0.008,1.0499999999999998,13.0,0.1106,0.01,1.4378,-67.7,-63.3,-67.95,-62.05,2040.0,2008.0,2324.0,4434.0,3.0,0.0,0.0,4405.0,1.0,forward,1.0,3.3893199999999997,0.025
38,2020_08_14_11_43_55,1597398235.7123704,27.174863576889038,3.3,0.2493,0.006,0.8226899999999999,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0874,0.008,1.0488,13.0,0.1063,0.01,1.3819000000000001,-67.7,-63.3,-67.95,-62.05,2314.0,2011.0,2034.0,4539.0,3.0,0.0,0.0,4511.0,1.0,forward,1.0,3.33189,0.025
39,2020_08_14_11_43_56,1597398236.5369074,27.99940061569214,3.3,0.2494,0.006,0.82302,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0878,0.008,1.0536,13.0,0.0903,0.011,1.1739000000000002,-67.7,-63.3,-67.95,-62.05,2352.0,2009.0,2038.0,4679.0,3.0,0.0,0.0,4648.0,1.0,forward,1.0,3.12902,0.026
40,2020_08_14_11_43_57,1597398237.1412432,28.603736400604248,3.3,0.244,0.006,0.8051999999999999,5.0,0.0156,0.001,0.078,12.0,0.0886,0.008,1.0632,13.0,0.1423,0.011,1.8499,-67.7,-63.3,-67.95,-62.05,2041.0,2009.0,2293.0,4781.0,3.0,0.0,0.0,4753.0,1.0,forward,1.0,3.7962999999999996,0.026
41,2020_08_14_11_43_57,1597398237.7242892,29.186782360076904,3.3,0.2494,0.007,0.82302,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0875,0.008,1.0499999999999998,13.0,0.1035,0.011,1.3455,-67.7,-63.3,-67.95,-62.05,2295.0,2008.0,2034.0,4880.0,3.0,0.0,0.0,4852.0,1.0,forward,1.0,3.29702,0.027
42,2020_08_14_11_43_58,1597398238.230091,29.69258427619934,3.3,0.2492,0.007,0.82236,5.0,0.0157,0.001,0.07849999999999999,12.0,0.088,0.009,1.056,13.0,0.1018,0.011,1.3234,-67.7,-63.3,-67.95,-62.05,2039.0,2012.0,2297.0,4966.0,3.0,0.0,0.0,4938.0,1.0,forward,1.0,3.28026,0.028
43,2020_08_14_11_43_59,1597398239.1359732,30.598466396331787,3.3,0.244,0.007,0.8051999999999999,5.0,0.0155,0.001,0.0775,12.0,0.0869,0.009,1.0428000000000002,12.999,0.0117,0.012,0.1520883,-67.7,-63.25,-67.95,-62.05,2247.0,2011.0,2035.0,5100.0,3.0,0.0,0.0,5081.0,0.0,rest,0.0,2.0775883,0.029
44,2020_08_14_11_43_59,1597398239.6837635,31.146256685256958,3.3,0.244,0.007,0.8051999999999999,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0868,0.009,1.0416,13.0,0.005,0.012,0.065,-67.7,-63.25,-67.95,-62.05,2120.0,2011.0,2037.0,5100.0,3.0,0.0,0.0,5092.0,0.0,rest,0.0,1.9903,0.029
45,2020_08_14_11_44_00,1597398240.528798,31.991291284561157,3.3,0.244,0.007,0.8051999999999999,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0871,0.009,1.0452,13.0,0.005,0.012,0.065,-67.7,-63.2,-67.95,-62.0,2048.0,2010.0,2075.0,5100.0,3.0,0.0,0.0,5095.0,0.0,rest,0.0,1.9938999999999998,0.029
46,2020_08_14_11_44_01,1597398241.039106,32.501599073410034,3.3,0.2442,0.007,0.8058599999999999,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0871,0.009,1.0452,13.0,0.0051,0.012,0.0663,-67.7,-63.2,-67.95,-62.0,2039.0,2011.0,2070.0,5100.0,3.0,0.0,0.0,5095.0,0.0,rest,0.0,1.99586,0.029
47,2020_08_14_11_44_01,1597398241.5657558,33.02824902534485,3.3,0.2441,0.007,0.80553,5.0,0.0157,0.001,0.07849999999999999,12.0,0.0871,0.01,1.0452,13.0,0.005,0.012,0.065,-67.7,-63.2,-67.95,-62.0,2047.0,2011.0,2075.0,5100.0,3.0,0.0,0.0,5095.0,0.0,rest,0.0,1.99423,0.030000000000000002
